"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"258",0.08,0.61,0.363636363636364,0.0089371157232559,0.00648993419651521,0.0154270499197711,1.01357878448403
"259",0.09,0.61,0.409090909090909,0.00301538391487264,0.00516927491499076,0.0081846588298634,0.986932954462692
"260",0.1,0.61,0.454545454545455,0.0140783927132107,0.00087592257236296,0.0149543152855736,0.975857558821285
"261",0.11,0.61,0.5,0.0076140810735751,0.0204709342255445,0.0280850152991196,1.00188037850894
"262",0.12,0.61,0.545454545454546,0.0274775154387645,0.0177846024648182,0.0452621179035828,1.02766252732504
"263",0.13,0.61,0.590909090909091,0.0138831632033409,0.0251852251410979,0.0390683883444388,0.997652492238787
"264",0.14,0.61,0.636363636363636,0.0238852100580728,0.0344892895518844,0.0583744996099572,0.979422652276703
"265",0.15,0.61,0.681818181818182,0.0394711169426379,0.0910031482092138,0.130474265151852,1.03083448198512
"266",0.16,0.61,0.727272727272727,0.0861914444970125,0.0817445817626174,0.16793602625963,0.965049189801333
"267",0.17,0.61,0.772727272727273,0.162112400805825,0.168095450128553,0.330207850934378,0.968491624663052
"268",0.18,0.61,0.818181818181818,0.318401353691546,0.329289539152322,0.647690892843868,1.00867002591615
"269",0.19,0.61,0.863636363636364,0.579829749002357,0.57955552485903,1.15938527386139,1.01334641617175
"270",0.2,0.61,0.909090909090909,0.982740472203318,0.986021358188412,1.96876183039173,0.99151799994076
"271",0.21,0.61,0.954545454545455,1.68580847782279,1.68564460374349,3.37145308156629,1.02411067812812
"276",0.01,0.62,0.0416666666666667,1.6271785934091e-05,0.00010260976440373,0.000118881550337821,0.982600241662674
"277",0.02,0.62,0.0833333333333333,-0.000257613243330427,3.75346596894825e-05,-0.000220078583640944,0.967942411895632
"278",0.03,0.62,0.125,0.0015763637998816,-0.000324581588640047,0.00125178221124155,1.00190894254649
"279",0.04,0.62,0.166666666666667,0.00301018705969349,-4.03750958919831e-05,0.0029698119638015,1.00460717802749
"280",0.05,0.62,0.208333333333333,0.000557887554542645,0.00948457698822093,0.0100424645427636,1.03645067326067
"281",0.06,0.62,0.25,0.00423655575893124,0.00469356622875831,0.00893012198768955,1.03534272872227
"282",0.07,0.62,0.291666666666667,0.0342278959382822,0.00291781244656864,0.0371457083848509,1.08637999159802
"283",0.08,0.62,0.333333333333333,0.00209091403204272,0.00119570975284474,0.00328662378488746,0.944617584396621
"284",0.09,0.62,0.375,0.00685427717177462,0.00130158133930936,0.00815585851108398,0.952325148126782
"285",0.1,0.62,0.416666666666667,0.0132419080849156,0.00888099599242362,0.0221229040773393,1.02892802603266
"286",0.11,0.62,0.458333333333333,0.0260441739830544,0.0194627848864794,0.0455069588695338,1.065871283633
"287",0.12,0.62,0.5,0.00272756963958764,0.0313803458768351,0.0341079155164227,0.991404006854165
"288",0.13,0.62,0.541666666666667,0.00968971003520104,0.0154707141450919,0.025160424180293,0.988970509713766
"289",0.14,0.62,0.583333333333333,0.0240608322364066,0.0142629700514926,0.0383238022878992,0.99289055570682
