"","mu","p","theta","KLD","Population_Variance"
"1817",0.025,0.695,0.0641025641025641,-0.17891023415793,0.512491102833086
"1818",0.03,0.695,0.0769230769230769,-0.178224497386938,0.51222642766396
"1819",0.035,0.695,0.0897435897435897,-0.170355148799256,0.519223441366871
"1820",0.04,0.695,0.102564102564103,-0.163260559051777,0.525807444914191
"1821",0.045,0.695,0.115384615384615,-0.153207439705995,0.534748987422369
"1822",0.05,0.695,0.128205128205128,-0.145255221081177,0.542931048909081
"1823",0.055,0.695,0.141025641025641,-0.135414363273209,0.552498008192934
"1824",0.06,0.695,0.153846153846154,-0.126850967781637,0.56191065917175
"1825",0.065,0.695,0.166666666666667,-0.117581321142935,0.571856264322366
"1826",0.07,0.695,0.179487179487179,-0.107168540060543,0.582541886247473
"1827",0.075,0.695,0.192307692307692,-0.0952100231831058,0.598304202871246
"1828",0.08,0.695,0.205128205128205,-0.0794809092045051,0.617385198454277
"1829",0.085,0.695,0.217948717948718,-0.0709788535190279,0.629598535240041
"1830",0.09,0.695,0.230769230769231,-0.0645126685658885,0.637271789974282
"1831",0.095,0.695,0.243589743589744,-0.0476295372278908,0.662904679975977
"1832",0.1,0.695,0.256410256410256,-0.0331764441769954,0.685504495838005
"1833",0.105,0.695,0.269230769230769,-0.0238111555354323,0.707322598953807
"1834",0.11,0.695,0.282051282051282,-0.012276706624193,0.73285378230026
"1835",0.115,0.695,0.294871794871795,-0.00397320017301221,0.749740619236928
"1836",0.12,0.695,0.307692307692308,0.0068253673764938,0.781350659561352
"1837",0.125,0.695,0.32051282051282,0.018694218455667,0.810368009951604
"1838",0.13,0.695,0.333333333333333,0.0251724118960272,0.834512151992004
"1839",0.135,0.695,0.346153846153846,0.0345272682136891,0.881256588567224
"1840",0.14,0.695,0.358974358974359,0.0366310881807363,0.914332950663881
"1841",0.145,0.695,0.371794871794872,0.0413574418946742,0.946365988156755
"1842",0.15,0.695,0.384615384615385,0.0415158626653977,1.00615886079047
"1843",0.155,0.695,0.397435897435897,0.0419713808508352,1.04525016959998
"1844",0.16,0.695,0.41025641025641,0.0373722602768465,1.08805952128792
"1845",0.165,0.695,0.423076923076923,0.029867657388524,1.14849641788483
"1846",0.17,0.695,0.435897435897436,0.0222116543382361,1.20074303572572
"1847",0.175,0.695,0.448717948717949,0.00845214095550302,1.24624977306493
"1848",0.18,0.695,0.461538461538461,-0.0150121901704189,1.32300243541163
"1849",0.185,0.695,0.474358974358974,-0.0407529031148802,1.3934005484091
"1850",0.19,0.695,0.487179487179487,-0.0738286345275622,1.4706750152056
"1851",0.195,0.695,0.5,-0.102807641427911,1.53542772314726
"1852",0.2,0.695,0.512820512820513,-0.15739879464002,1.63581570047472
"1853",0.205,0.695,0.525641025641026,-0.228478280911612,1.75655343286414
"1854",0.21,0.695,0.538461538461538,-0.297695197699046,1.86307521403799
"1855",0.215,0.695,0.551282051282051,-0.386835279131306,1.98448346263218
"1856",0.22,0.695,0.564102564102564,-0.474962677700651,2.09306361300891
"1857",0.225,0.695,0.576923076923077,-0.580195288696598,2.22115742530517
"1858",0.23,0.695,0.58974358974359,-0.768320604005502,2.43236384934913
"1859",0.235,0.695,0.602564102564102,-0.909337338421963,2.57107472603514
"1860",0.24,0.695,0.615384615384615,-1.10472302271664,2.75294640450832
"1861",0.245,0.695,0.628205128205128,-1.34679031001473,2.96892877722413
"1862",0.25,0.695,0.641025641025641,-1.62710608086733,3.200584368954
"1863",0.01,0.7,0.025,-0.192479713249849,0.500345740132694
"1864",0.015,0.7,0.0375,-0.189488820847747,0.50290466913878
"1865",0.02,0.7,0.05,-0.18509146313347,0.506388196486321
"1866",0.025,0.7,0.0625,-0.182426835946645,0.508657069370274
"1867",0.03,0.7,0.075,-0.179090644238401,0.511334824945983
"1868",0.035,0.7,0.0875,-0.169861067029672,0.520333449235363
"1869",0.04,0.7,0.1,-0.160466008715387,0.528861846336407
"1870",0.045,0.7,0.1125,-0.153484430812586,0.535100306601022
"1871",0.05,0.7,0.125,-0.143440944601059,0.545195139798217
"1872",0.055,0.7,0.1375,-0.137448975802538,0.550885020149821
"1873",0.06,0.7,0.15,-0.131164784811104,0.555498994077303
"1874",0.065,0.7,0.1625,-0.116430346253725,0.572166488071085
"1875",0.07,0.7,0.175,-0.107974267568971,0.581275970349099
"1876",0.075,0.7,0.1875,-0.0966639531079339,0.595964679881762
"1877",0.08,0.7,0.2,-0.0845588564560093,0.610418394001695
"1878",0.085,0.7,0.2125,-0.0768074053931402,0.620111322226508
"1879",0.09,0.7,0.225,-0.0622581978885866,0.641979516398979
"1880",0.095,0.7,0.2375,-0.0521566147305742,0.653856773718211
"1881",0.1,0.7,0.25,-0.0367899802839386,0.67933367562588
"1882",0.105,0.7,0.2625,-0.0265562293618395,0.696299433570701
"1883",0.11,0.7,0.275,-0.0151658423413118,0.719754782755028
"1884",0.115,0.7,0.2875,-0.00669580243313006,0.740443916043594
"1885",0.12,0.7,0.3,0.00308037981614085,0.764670967693133
"1886",0.125,0.7,0.3125,0.015381955899882,0.797164519085497
"1887",0.13,0.7,0.325,0.0233953368890665,0.821802124535449
"1888",0.135,0.7,0.3375,0.0301121629749168,0.85689562974696
"1889",0.14,0.7,0.35,0.0391414982775772,0.892099072143822
"1890",0.145,0.7,0.3625,0.0431684743145638,0.917478524146252
"1891",0.15,0.7,0.375,0.0468847556293524,0.964312441956606
"1892",0.155,0.7,0.3875,0.0461125646964955,0.995512412158358
"1893",0.16,0.7,0.4,0.0438213061794173,1.05455064503395
"1894",0.165,0.7,0.4125,0.0423777403760349,1.0912023143492
"1895",0.17,0.7,0.425,0.0346173813265789,1.1461088032896
"1896",0.175,0.7,0.4375,0.0184686942452429,1.21066211790686
"1897",0.18,0.7,0.45,0.00813690123827344,1.26532708650999
"1898",0.185,0.7,0.4625,-0.016121922214466,1.33296795451599
"1899",0.19,0.7,0.475,-0.0399802206589079,1.40414362398698
"1900",0.195,0.7,0.4875,-0.0676537074909844,1.46960971514436
"1901",0.2,0.7,0.5,-0.1081493387666,1.55485845725562
"1902",0.205,0.7,0.5125,-0.155222431720353,1.64304121765803
"1903",0.21,0.7,0.525,-0.21942570438493,1.75007824565599
"1904",0.215,0.7,0.5375,-0.272088082227597,1.8272912377463
"1905",0.22,0.7,0.55,-0.344525001984168,1.93976466893436
"1906",0.225,0.7,0.5625,-0.471832104066792,2.10041812698879
"1907",0.23,0.7,0.575,-0.589574138853463,2.23910201961198
"1908",0.235,0.7,0.5875,-0.70423879775625,2.36641493142616
"1909",0.24,0.7,0.6,-0.897738917036873,2.56501792926025
"1910",0.245,0.7,0.6125,-1.0473915052723,2.70683829794109
"1911",0.25,0.7,0.625,-1.31122933731278,2.94343236560207
"1912",0.01,0.705,0.024390243902439,-0.191404350201726,0.501350202803096
"1913",0.015,0.705,0.0365853658536585,-0.192514112956404,0.499751428946621
"1914",0.02,0.705,0.048780487804878,-0.185400189342927,0.506379786884591
"1915",0.025,0.705,0.0609756097560975,-0.180364470181029,0.511083081578245
"1916",0.03,0.705,0.073170731707317,-0.175770276216136,0.515040206462388
"1917",0.035,0.705,0.0853658536585366,-0.169688567488413,0.520204256304258
"1918",0.04,0.705,0.0975609756097561,-0.15965325750349,0.528842962058195
"1919",0.045,0.705,0.109756097560976,-0.156025617353137,0.532391423605027
"1920",0.05,0.705,0.121951219512195,-0.152197112468766,0.534481584616754
"1921",0.055,0.705,0.134146341463415,-0.141851258125725,0.544836314555622
"1922",0.06,0.705,0.146341463414634,-0.132089342952258,0.555478372406916
"1923",0.065,0.705,0.158536585365854,-0.122216545676517,0.564594198447849
"1924",0.07,0.705,0.170731707317073,-0.112493574892101,0.574815710579237
"1925",0.075,0.705,0.182926829268293,-0.10632921377959,0.580762904971362
"1926",0.08,0.705,0.195121951219512,-0.0881469863639395,0.603145006422417
"1927",0.085,0.705,0.207317073170732,-0.075834906023113,0.618325768580499
"1928",0.09,0.705,0.219512195121951,-0.0673560964111016,0.631277256900529
"1929",0.095,0.705,0.231707317073171,-0.0541133942585,0.649787640252112
"1930",0.1,0.705,0.24390243902439,-0.0460273705996723,0.662655772131461
"1931",0.105,0.705,0.25609756097561,-0.0327336431120757,0.684470103580908
"1932",0.11,0.705,0.268292682926829,-0.0222115637449058,0.704485996589225
"1933",0.115,0.705,0.280487804878049,-0.010910645144362,0.724238239910815
"1934",0.12,0.705,0.292682926829268,0.00137184481187432,0.753749845696781
"1935",0.125,0.705,0.304878048780488,0.0124235231916579,0.778921113812545
"1936",0.13,0.705,0.317073170731707,0.0185411664236307,0.79937709536413
"1937",0.135,0.705,0.329268292682927,0.028700367352271,0.833461962430293
"1938",0.14,0.705,0.341463414634146,0.0353349740426264,0.868127323963596
"1939",0.145,0.705,0.353658536585366,0.0411398985176024,0.897280451328151
"1940",0.15,0.705,0.365853658536585,0.0451219223885681,0.94379638529823
"1941",0.155,0.705,0.378048780487805,0.0479710432035367,0.974368592003651
"1942",0.16,0.705,0.390243902439024,0.0478771406849387,1.01924299393799
"1943",0.165,0.705,0.402439024390244,0.0483190368593528,1.05064626288832
"1944",0.17,0.705,0.414634146341463,0.0431884393153233,1.09922679089314
"1945",0.175,0.705,0.426829268292683,0.0334378226824858,1.16473880381525
"1946",0.18,0.705,0.439024390243902,0.0225393627567366,1.21478144919473
"1947",0.185,0.705,0.451219512195122,0.00915333334200951,1.27790538394943
"1948",0.19,0.705,0.463414634146341,-0.00632390051236638,1.3212335068242
"1949",0.195,0.705,0.475609756097561,-0.0287592221639539,1.38439876129838
"1950",0.2,0.705,0.48780487804878,-0.0654475412550118,1.47414144582462
"1951",0.205,0.705,0.5,-0.102299114434921,1.5562581656623
"1952",0.21,0.705,0.512195121951219,-0.156699289914594,1.65663265306028
"1953",0.215,0.705,0.524390243902439,-0.209415536828232,1.74329366509997
"1954",0.22,0.705,0.536585365853658,-0.278928659833607,1.84648048702342
"1955",0.225,0.705,0.548780487804878,-0.36033011355975,1.96553295722289
"1956",0.23,0.705,0.560975609756097,-0.443140037550012,2.07143221571741
"1957",0.235,0.705,0.573170731707317,-0.574100604644884,2.22759099906621
"1958",0.24,0.705,0.585365853658536,-0.684482738924205,2.35515463315659
"1959",0.245,0.705,0.597560975609756,-0.838315232876093,2.5092918733384
"1960",0.25,0.705,0.609756097560975,-0.986043728101728,2.65261719675452
"1961",0.01,0.71,0.0238095238095238,-0.191316779649795,0.501368051704024
"1962",0.015,0.71,0.0357142857142857,-0.188750554695545,0.503574849858123
"1963",0.02,0.71,0.0476190476190476,-0.183063299931365,0.508741403684366
"1964",0.025,0.71,0.0595238095238095,-0.178198496077994,0.513174162369069
"1965",0.03,0.71,0.0714285714285714,-0.174965865965783,0.51572892381587
"1966",0.035,0.71,0.0833333333333334,-0.171344531342589,0.518301646440807
"1967",0.04,0.71,0.0952380952380953,-0.167024982283874,0.521081291090249
"1968",0.045,0.71,0.107142857142857,-0.161219789496397,0.526856423906914
"1969",0.05,0.71,0.119047619047619,-0.146555116531969,0.541523923317458
"1970",0.055,0.71,0.130952380952381,-0.142906125453428,0.543452591301277
"1971",0.06,0.71,0.142857142857143,-0.137134909720667,0.548289082797034
"1972",0.065,0.71,0.154761904761905,-0.124075847267189,0.563523727267916
"1973",0.07,0.71,0.166666666666667,-0.112870291190675,0.573951149529946
"1974",0.075,0.71,0.178571428571429,-0.10273249134547,0.5852831229361
"1975",0.08,0.71,0.190476190476191,-0.0933526540011988,0.596654624441529
"1976",0.085,0.71,0.202380952380952,-0.0789054418411537,0.612408945995562
"1977",0.09,0.71,0.214285714285714,-0.071506753260652,0.62453020597022
"1978",0.095,0.71,0.226190476190476,-0.0615156665923847,0.63754597249082
"1979",0.1,0.71,0.238095238095238,-0.048103522771911,0.654243865419448
"1980",0.105,0.71,0.25,-0.0388493674370788,0.671815187104696
"1981",0.11,0.71,0.261904761904762,-0.0244784993899872,0.694883347372988
"1982",0.115,0.71,0.273809523809524,-0.0147129041532572,0.713060699222677
"1983",0.12,0.71,0.285714285714286,-0.00369509423915152,0.733998642838945
"1984",0.125,0.71,0.297619047619048,0.00871890875694045,0.765396822691538
"1985",0.13,0.71,0.30952380952381,0.0162751364801521,0.786099071427839
"1986",0.135,0.71,0.321428571428572,0.0263172749768233,0.819243273107355
"1987",0.14,0.71,0.333333333333333,0.0322793573085294,0.842418006394977
"1988",0.145,0.71,0.345238095238095,0.0398725654600128,0.871420579428762
"1989",0.15,0.71,0.357142857142857,0.0448431021011461,0.898831340843973
"1990",0.155,0.71,0.369047619047619,0.0505897132367591,0.939643109361875
"1991",0.16,0.71,0.380952380952381,0.0515991339892657,0.977527282357683
"1992",0.165,0.71,0.392857142857143,0.0511071467349368,1.02250923153856
"1993",0.17,0.71,0.404761904761905,0.0522630423879084,1.06098530641067
"1994",0.175,0.71,0.416666666666667,0.0464606224324557,1.11694270935358
"1995",0.18,0.71,0.428571428571429,0.0365739596052917,1.17268167235028
"1996",0.185,0.71,0.440476190476191,0.0234420911431373,1.22557737870786
"1997",0.19,0.71,0.452380952380952,0.0123518242857913,1.27736727834693
"1998",0.195,0.71,0.464285714285714,-0.00979517099242513,1.33689663863783
"1999",0.2,0.71,0.476190476190476,-0.032136605228645,1.40726440637295
"2000",0.205,0.71,0.488095238095238,-0.0605182978359568,1.47303473809553
"2001",0.21,0.71,0.5,-0.104245758286464,1.56739488911149
"2002",0.215,0.71,0.511904761904762,-0.14273914848221,1.63892610268418
"2003",0.22,0.71,0.523809523809524,-0.204069982814273,1.74079738424142
"2004",0.225,0.71,0.535714285714286,-0.269650958735805,1.84654622238647
"2005",0.23,0.71,0.547619047619048,-0.332420435322185,1.93750749075716
"2006",0.235,0.71,0.55952380952381,-0.405508441905262,2.02443203994313
"2007",0.24,0.71,0.571428571428572,-0.516758812192268,2.16719996931942
"2008",0.245,0.71,0.583333333333333,-0.663865846651063,2.33417584271738
"2009",0.25,0.71,0.595238095238095,-0.790475074785743,2.46712938031057
"2010",0.01,0.715,0.0232558139534884,-0.190538211135064,0.502297497908236
"2011",0.015,0.715,0.0348837209302325,-0.195528121017743,0.496951232619312
"2012",0.02,0.715,0.0465116279069767,-0.188006252886599,0.503751506552337
"2013",0.025,0.715,0.0581395348837209,-0.183760906204821,0.507000442157184
"2014",0.03,0.715,0.0697674418604651,-0.178618507581131,0.511568945363241
"2015",0.035,0.715,0.0813953488372093,-0.174277327587125,0.514933432621159
"2016",0.04,0.715,0.0930232558139535,-0.164862764778615,0.523967114798212
"2017",0.045,0.715,0.104651162790698,-0.160000782743777,0.52802907014028
"2018",0.05,0.715,0.116279069767442,-0.15519329159153,0.531989805633996
"2019",0.055,0.715,0.127906976744186,-0.146071272230125,0.54007671900592
"2020",0.06,0.715,0.13953488372093,-0.133113928359157,0.552696102363765
"2021",0.065,0.715,0.151162790697674,-0.125161138790789,0.56164797111897
"2022",0.07,0.715,0.162790697674419,-0.113134598059525,0.573874218904005
"2023",0.075,0.715,0.174418604651163,-0.110185383799398,0.576211049470052
"2024",0.08,0.715,0.186046511627907,-0.0954773459965836,0.592795250996506
"2025",0.085,0.715,0.197674418604651,-0.0828923896230081,0.607962251374657
"2026",0.09,0.715,0.209302325581395,-0.0739789896917779,0.6185064309996
"2027",0.095,0.715,0.220930232558139,-0.0607282967113824,0.635683394811349
"2028",0.1,0.715,0.232558139534884,-0.0527445659505326,0.646206710994257
"2029",0.105,0.715,0.244186046511628,-0.0373103648994733,0.673527438065843
"2030",0.11,0.715,0.255813953488372,-0.0317157541724485,0.680473048873272
"2031",0.115,0.715,0.267441860465116,-0.0203136461687848,0.698882886771165
"2032",0.12,0.715,0.27906976744186,-0.00534014654781173,0.730765633274608
"2033",0.125,0.715,0.290697674418605,0.00295030783752521,0.746472505417851
"2034",0.13,0.715,0.302325581395349,0.0147928344137941,0.776257104101421
"2035",0.135,0.715,0.313953488372093,0.0224612338511094,0.797574232925858
"2036",0.14,0.715,0.325581395348837,0.0325917366175031,0.824830993087404
"2037",0.145,0.715,0.337209302325581,0.0370698727674466,0.840438698648847
"2038",0.15,0.715,0.348837209302325,0.0464199830171584,0.88679238929622
"2039",0.155,0.715,0.36046511627907,0.049114364119578,0.908711191064739
"2040",0.16,0.715,0.372093023255814,0.0539883735682791,0.950230710021005
"2041",0.165,0.715,0.383720930232558,0.0567777700212941,0.98725275581645
"2042",0.17,0.715,0.395348837209302,0.0555691487192852,1.02523079679975
"2043",0.175,0.715,0.406976744186046,0.0547374518411299,1.06963773889272
"2044",0.18,0.715,0.418604651162791,0.0459541814202119,1.13429969560018
"2045",0.185,0.715,0.430232558139535,0.0396004405743491,1.17586799165747
"2046",0.19,0.715,0.441860465116279,0.0308177758642396,1.21686809188896
"2047",0.195,0.715,0.453488372093023,0.0156365396227874,1.27276637320888
"2048",0.2,0.715,0.465116279069767,-0.00429799858700843,1.3425108462812
"2049",0.205,0.715,0.476744186046511,-0.0323777092196406,1.41516292313204
"2050",0.21,0.715,0.488372093023256,-0.0594048349393844,1.4841344861646
"2051",0.215,0.715,0.5,-0.100672154189594,1.56441966402007
"2052",0.22,0.715,0.511627906976744,-0.130037605326749,1.62472605318322
"2053",0.225,0.715,0.523255813953488,-0.18685702348003,1.71856150502531
"2054",0.23,0.715,0.534883720930232,-0.246945844015832,1.8161543786792
"2055",0.235,0.715,0.546511627906977,-0.324288099395162,1.92488943048689
"2056",0.24,0.715,0.558139534883721,-0.400015113441241,2.02914148683866
"2057",0.245,0.715,0.569767441860465,-0.508211079027523,2.16283861003785
"2058",0.25,0.715,0.581395348837209,-0.62648082959073,2.29827179537924
"2059",0.01,0.72,0.0227272727272727,-0.19051750736561,0.50227220192313
"2060",0.015,0.72,0.0340909090909091,-0.189970134887062,0.502464676170912
"2061",0.02,0.72,0.0454545454545455,-0.18707109728077,0.504674732041195
"2062",0.025,0.72,0.0568181818181818,-0.183971012236184,0.506927618584225
"2063",0.03,0.72,0.0681818181818182,-0.182466363414389,0.508159278228637
"2064",0.035,0.72,0.0795454545454546,-0.170424610662739,0.519019539697204
"2065",0.04,0.72,0.0909090909090909,-0.163482773910712,0.525365099664102
"2066",0.045,0.72,0.102272727272727,-0.15773690934896,0.530259429140557
"2067",0.05,0.72,0.113636363636364,-0.152278188653495,0.534881313715133
"2068",0.055,0.72,0.125,-0.14505573362605,0.54158521206923
"2069",0.06,0.72,0.136363636363636,-0.13938233731617,0.546174731542523
"2070",0.065,0.72,0.147727272727273,-0.132610917225029,0.551851865713959
"2071",0.07,0.72,0.159090909090909,-0.115964984832728,0.569989082350484
"2072",0.075,0.72,0.170454545454545,-0.106673068773376,0.579736250528202
"2073",0.08,0.72,0.181818181818182,-0.0957648185790674,0.593020979049569
"2074",0.085,0.72,0.193181818181818,-0.0885602770774246,0.598925064511519
"2075",0.09,0.72,0.204545454545455,-0.0759804897872653,0.616300147269039
"2076",0.095,0.72,0.215909090909091,-0.0671333025236853,0.625350744490152
"2077",0.1,0.72,0.227272727272727,-0.0550042592400219,0.641113730242422
"2078",0.105,0.72,0.238636363636364,-0.0497394713901765,0.645002274046189
"2079",0.11,0.72,0.25,-0.0336781378569277,0.672336118910792
"2080",0.115,0.72,0.261363636363636,-0.0209450219251953,0.695943980358101
"2081",0.12,0.72,0.272727272727273,-0.0136857134380538,0.710464629319683
"2082",0.125,0.72,0.284090909090909,0.000320124114443342,0.736402407350647
"2083",0.13,0.72,0.295454545454546,0.0102339975770739,0.758252369514962
"2084",0.135,0.72,0.306818181818182,0.0190385136192137,0.779326132694546
"2085",0.14,0.72,0.318181818181818,0.0282375789706002,0.805141662198001
"2086",0.145,0.72,0.329545454545455,0.037147931760623,0.829669332862753
"2087",0.15,0.72,0.340909090909091,0.0425123691448182,0.855804241630732
"2088",0.155,0.72,0.352272727272727,0.050644268235709,0.900588779416234
"2089",0.16,0.72,0.363636363636364,0.0536706735170197,0.915810243295436
"2090",0.165,0.72,0.375,0.0566407300516785,0.962364630806478
"2091",0.17,0.72,0.386363636363636,0.0565289713113503,0.995850664645616
"2092",0.175,0.72,0.397727272727273,0.0601622464364062,1.04044057685906
"2093",0.18,0.72,0.409090909090909,0.0558616523261277,1.08393921050349
"2094",0.185,0.72,0.420454545454546,0.0501239563982057,1.13032152326972
"2095",0.19,0.72,0.431818181818182,0.0412858911611031,1.17931520354744
"2096",0.195,0.72,0.443181818181818,0.0295980198612722,1.23532000461122
"2097",0.2,0.72,0.454545454545455,0.0201074618149278,1.27634700570502
"2098",0.205,0.72,0.465909090909091,-0.00174336574365704,1.34367264122204
"2099",0.21,0.72,0.477272727272727,-0.0253747272277403,1.41387016556505
