"","Var1","Var2","theta","KLD"
"47",0.22,0.52,5.5,4.65058312737088
"48",0.23,0.52,5.75,4.80713632464709
"49",0.24,0.52,6,4.97954452392588
"50",0.25,0.52,6.24999999999999,5.12374307202511
"51",0.01,0.53,0.166666666666667,0.00308288982613125
"52",0.02,0.53,0.333333333333333,0.00363950177354466
"53",0.03,0.53,0.5,0.0158098658931261
"54",0.04,0.53,0.666666666666666,0.0675481233984149
"55",0.05,0.53,0.833333333333333,0.131606304999294
"56",0.06,0.53,0.999999999999999,0.215768561121423
"57",0.07,0.53,1.16666666666667,0.333980704500963
"58",0.08,0.53,1.33333333333333,0.411821321410789
"59",0.09,0.53,1.5,0.692274852144148
"60",0.1,0.53,1.66666666666666,0.846622505579992
"61",0.11,0.53,1.83333333333333,0.98196259219498
"62",0.12,0.53,2,1.19617039696049
"63",0.13,0.53,2.16666666666666,1.46476459180715
"64",0.14,0.53,2.33333333333333,1.63303056416729
"65",0.15,0.53,2.5,1.84427590936805
"66",0.16,0.53,2.66666666666666,2.05168237416437
"67",0.17,0.53,2.83333333333333,2.26095752277177
"68",0.18,0.53,3,2.48306845061033
"69",0.19,0.53,3.16666666666666,2.64687536206824
"70",0.2,0.53,3.33333333333333,2.86417178122592
"71",0.21,0.53,3.5,2.95903564404985
"72",0.22,0.53,3.66666666666666,3.11888857068934
"73",0.23,0.53,3.83333333333333,3.29299662778996
"74",0.24,0.53,4,3.43981569400393
"75",0.25,0.53,4.16666666666666,3.57278920508908
"76",0.01,0.54,0.125,0.00642737886899009
"77",0.02,0.54,0.25,0.00400462453271704
"78",0.03,0.54,0.375,0.0379451055084531
"79",0.04,0.54,0.5,0.00391813209121672
"80",0.05,0.54,0.624999999999999,0.0753788656893675
"81",0.06,0.54,0.749999999999999,0.127773301484879
"82",0.07,0.54,0.874999999999999,0.197988925114631
"83",0.08,0.54,0.999999999999999,0.242910437689665
"84",0.09,0.54,1.125,0.292095892057434
"85",0.1,0.54,1.25,0.419609141093162
"86",0.11,0.54,1.375,0.462335684684125
"87",0.12,0.54,1.5,0.643205532718403
"88",0.13,0.54,1.625,0.774887590931442
"89",0.14,0.54,1.75,0.937303551421775
"90",0.15,0.54,1.875,1.07501112928875
"91",0.16,0.54,2,1.20921482504739
"92",0.17,0.54,2.125,1.29923636334194
"93",0.18,0.54,2.25,1.47516794392674
"94",0.19,0.54,2.375,1.73250970661941
"95",0.2,0.54,2.5,1.77809990096054
"96",0.21,0.54,2.625,1.99530157119741
"97",0.22,0.54,2.75,2.05819988655481
"98",0.23,0.54,2.875,2.25094723318788
"99",0.24,0.54,3,2.42151205339113
"100",0.25,0.54,3.125,2.47296386545141
"101",0.01,0.55,0.0999999999999999,0.0053742056871612
"102",0.02,0.55,0.2,0.00597494151023986
"103",0.03,0.55,0.3,0.00480431956399625
"104",0.04,0.55,0.4,0.0309877062586207
"105",0.05,0.55,0.5,0.0157914942415964
"106",0.06,0.55,0.6,0.051388613390604
"107",0.07,0.55,0.699999999999999,0.110222955419652
"108",0.08,0.55,0.799999999999999,0.107917254916671
"109",0.09,0.55,0.899999999999999,0.139432201117964
"110",0.1,0.55,0.999999999999999,0.234256598041895
"111",0.11,0.55,1.1,0.314246455771181
"112",0.12,0.55,1.2,0.329971735155745
"113",0.13,0.55,1.3,0.488984754091354
"114",0.14,0.55,1.4,0.546790333072065
"115",0.15,0.55,1.5,0.678974552002054
"116",0.16,0.55,1.6,0.758401144227507
"117",0.17,0.55,1.7,0.896944391049542
"118",0.18,0.55,1.8,0.979124231166393
"119",0.19,0.55,1.9,1.13398496688244
"120",0.2,0.55,2,1.23130204534745
"121",0.21,0.55,2.1,1.25942971569492
"122",0.22,0.55,2.2,1.49342413875772
"123",0.23,0.55,2.3,1.60834196049564
"124",0.24,0.55,2.4,1.70634550281427
"125",0.25,0.55,2.5,1.83827089046201
"126",0.01,0.56,0.0833333333333333,0.00183435591001794
"127",0.02,0.56,0.166666666666667,0.00773968577401222
"128",0.03,0.56,0.25,0.00231848590481676
"129",0.04,0.56,0.333333333333333,0.0194902021574696
"130",0.05,0.56,0.416666666666666,0.0307270633156985
"131",0.06,0.56,0.5,0.0241292002702202
"132",0.07,0.56,0.583333333333333,0.0399674829807679
"133",0.08,0.56,0.666666666666666,0.0638537539299268
"134",0.09,0.56,0.749999999999999,0.0818530177051784
"135",0.1,0.56,0.833333333333332,0.174466993456723
"136",0.11,0.56,0.916666666666666,0.215688570546169
"137",0.12,0.56,0.999999999999999,0.21481377714056
"138",0.13,0.56,1.08333333333333,0.303197322238985
"139",0.14,0.56,1.16666666666667,0.311004283457682
"140",0.15,0.56,1.25,0.343164669351829
"141",0.16,0.56,1.33333333333333,0.509769014847162
"142",0.17,0.56,1.41666666666667,0.455899239999202
"143",0.18,0.56,1.5,0.617208540374131
"144",0.19,0.56,1.58333333333333,0.774008905962874
"145",0.2,0.56,1.66666666666667,0.884363987688097
"146",0.21,0.56,1.75,0.886773149226586
"147",0.22,0.56,1.83333333333333,1.03536545491155
"148",0.23,0.56,1.91666666666666,1.15719393914282
"149",0.24,0.56,2,1.19768060777066
"150",0.25,0.56,2.08333333333333,1.31465448473297
"151",0.01,0.57,0.0714285714285714,0.00633299316474382
"152",0.02,0.57,0.142857142857143,0.00600968053283426
"153",0.03,0.57,0.214285714285714,0.000832487771237079
"154",0.04,0.57,0.285714285714285,0.00162913786839605
"155",0.05,0.57,0.357142857142857,0.00457801891999291
"156",0.06,0.57,0.428571428571428,0.0105294997210349
"157",0.07,0.57,0.5,0.0364401910636873
"158",0.08,0.57,0.571428571428571,0.0454881125638055
"159",0.09,0.57,0.642857142857142,0.0893659466349078
"160",0.1,0.57,0.714285714285714,0.117368071279812
"161",0.11,0.57,0.785714285714285,0.0778901132693147
"162",0.12,0.57,0.857142857142856,0.126161965490464
"163",0.13,0.57,0.928571428571428,0.203068237379507
"164",0.14,0.57,0.999999999999999,0.199112096252785
"165",0.15,0.57,1.07142857142857,0.278081032748482
"166",0.16,0.57,1.14285714285714,0.327651873881798
"167",0.17,0.57,1.21428571428571,0.388680832567279
"168",0.18,0.57,1.28571428571428,0.537828538349095
"169",0.19,0.57,1.35714285714286,0.459769296717579
"170",0.2,0.57,1.42857142857143,0.538627320712464
"171",0.21,0.57,1.5,0.620351944323022
"172",0.22,0.57,1.57142857142857,0.693147989692111
"173",0.23,0.57,1.64285714285714,0.869333790541691
"174",0.24,0.57,1.71428571428571,0.896269974307439
"175",0.25,0.57,1.78571428571428,0.971491832776366
"176",0.01,0.58,0.0624999999999999,0.0020908611436071
"177",0.02,0.58,0.125,0.00161004863194615
"178",0.03,0.58,0.1875,0.0111027044614973
"179",0.04,0.58,0.25,0.0232426334538696
"180",0.05,0.58,0.3125,0.00786392137071429
"181",0.06,0.58,0.375,0.0145350216544954
"182",0.07,0.58,0.4375,0.0134980459042486
"183",0.08,0.58,0.5,0.0571864010939527
"184",0.09,0.58,0.562499999999999,0.0232503130939676
"185",0.1,0.58,0.624999999999999,0.0712933793685119
"186",0.11,0.58,0.687499999999999,0.0605236666702134
"187",0.12,0.58,0.749999999999999,0.135391444060271
"188",0.13,0.58,0.812499999999999,0.147194341014509
"189",0.14,0.58,0.874999999999999,0.174518476057894
"190",0.15,0.58,0.937499999999999,0.230542416641992
"191",0.16,0.58,0.999999999999999,0.213740739008528
"192",0.17,0.58,1.0625,0.258081240794324
"193",0.18,0.58,1.125,0.302022162297647
"194",0.19,0.58,1.1875,0.398982876099536
"195",0.2,0.58,1.25,0.389147402915817
"196",0.21,0.58,1.3125,0.412509875592481
"197",0.22,0.58,1.375,0.541186046940175
"198",0.23,0.58,1.4375,0.520209650987575
"199",0.24,0.58,1.5,0.644970554141052
"200",0.25,0.58,1.5625,0.687368740811391
"201",0.01,0.59,0.0555555555555556,0.00245347131532142
"202",0.02,0.59,0.111111111111111,0.0120147660565802
"203",0.03,0.59,0.166666666666667,0.0141857418541161
"204",0.04,0.59,0.222222222222222,0.0232493734324483
"205",0.05,0.59,0.277777777777778,0.00653014762505572
"206",0.06,0.59,0.333333333333333,0.0296885687213438
"207",0.07,0.59,0.388888888888889,0.0357215637659049
"208",0.08,0.59,0.444444444444445,0.0293987230906922
"209",0.09,0.59,0.5,0.0333128343538557
"210",0.1,0.59,0.555555555555556,0.025378145144636
"211",0.11,0.59,0.611111111111111,0.0534160934568962
"212",0.12,0.59,0.666666666666667,0.116622632029768
"213",0.13,0.59,0.722222222222223,0.062258293615662
"214",0.14,0.59,0.777777777777778,0.0746008292938053
"215",0.15,0.59,0.833333333333334,0.0953727308778146
"216",0.16,0.59,0.888888888888889,0.189736007003876
"217",0.17,0.59,0.944444444444445,0.164315478565031
"218",0.18,0.59,1,0.249702295340642
"219",0.19,0.59,1.05555555555556,0.235528335299491
"220",0.2,0.59,1.11111111111111,0.353342635404208
"221",0.21,0.59,1.16666666666667,0.376787533427996
"222",0.22,0.59,1.22222222222222,0.395420734195602
"223",0.23,0.59,1.27777777777778,0.384460502947551
"224",0.24,0.59,1.33333333333333,0.422547351248518
"225",0.25,0.59,1.38888888888889,0.519483841145433
"226",0.01,0.6,0.05,0.00532774260552715
